year,week,winner,winner_corr,day,day_corr,date,date_corr,time,time_corr,pts_win,pts_loss,home_team_name,home_team_name_corr,away_team_name,away_team_name_corr,game_attendance,home_team_previous_year_performance,away_team_previous_year_performance,home_team_current_year_performance,away_team_current_year_performance,home_team_current_sos,away_team_current_sos,stadium_name,stadium_name_corr,stadium_max_capacity,stadium_regular_capacity,home_city,home_city_corr,weather_condition,weather_condition_corr
2017,2,Tennessee Titans,-0.025676492977594063,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,37,16,Jaguars,-0.02497378909051273,Titans,0.009366383428693701,61709.0,-5.0,-1.0,6.5,-3.5,-2.8,-2.1,EverBank,-0.02497378909051273,82000,67814,"Jacksonville,FL",-0.02497378909051273,Cloudy,-0.05709445713883091
2017,2,Miami Dolphins,-0.05159505697023815,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,16:05:00,-0.30315790509802293,19,17,Chargers,-0.6042582258808916,Dolphins,0.0015729750762001379,25381.0,0.1,-2.4,3.6,-6.3,-1.5,0.7,Dignity Health Sports Park,-0.6042582258808916,27000,27000,"Inglewood,CA",-0.40483475510523304,Cloudy,-0.05709445713883091
2017,2,Oakland Raiders,-0.16473092700686967,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,16:05:00,-0.30315790509802293,45,20,Raiders,-0.17365645265764001,Jets,-0.0612076362207312,54729.0,3.3,-8.5,-4.7,-4.9,-0.2,0.3,Oakland Coliseum,-0.17365645265764001,63132,53200,"Paradise,NV",-0.17365645265764001,Clear,0.05220517572910981
2017,2,Seattle Seahawks,0.05208519069417401,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,16:25:00,0.05359421020612981,12,9,Seahawks,0.032110176237064976,49ers,-0.032833761328185454,68729.0,2.1,-11.2,1.9,-2.9,-0.2,0.4,Lumen Field,0.032110176237064976,72000,68740,"Seattle,WA",0.032110176237064976,Rain,0.015868728319930726
2017,2,Denver Broncos,-0.00023014199356097587,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,16:25:00,0.05359421020612981,42,17,Broncos,0.15040982233654798,Cowboys,0.06180649893005572,76919.0,4.0,7.0,-6.7,1.6,-0.9,0.2,Empower Field at Mile High,0.15040982233654798,76125,76125,"Denver,CO",0.15040982233654798,Rain,0.015868728319930726
2017,2,Washington Redskins,-0.00715552968889354,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,16:25:00,0.05359421020612981,27,20,Rams,0.04104535898737477,Redskins,0.0409326079165612,56612.0,-11.1,2.0,9.2,-1.3,-0.2,1.6,Los Angeles Memorial Coliseum,0.04104535898737477,93607,77500,"Inglewood,CA",-0.40483475510523304,Cloudy,-0.05709445713883091
2017,2,Atlanta Falcons,0.033197612769428654,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,20:30:00,0.06335423773051325,34,23,Falcons,0.08368428200778101,Packers,0.015899153302694466,70826.0,8.5,2.8,4.3,-1.9,1.9,2.1,Mercedes-Benz,0.08368428200778101,79330,71000,"Atlanta,GA",0.08368428200778101,Clear,0.05220517572910981
2017,2,Detroit Lions,-0.02749422929186968,Mon,0.06245640168307258,2017-09-18,0.03272121391910798,20:30:00,0.06335423773051325,24,10,Giants,0.15065502195440145,Lions,-0.0009421888709224119,77004.0,2.1,-1.4,-7.6,2.7,1.3,0.6,MetLife,0.2372130118726431,83367,82500,"East_Rutherford,NJ",0.2372130118726431,Cloudy,-0.05709445713883091
2017,3,Los Angeles Rams,0.03748991445516064,Thu,0.06372022105950415,2017-09-21,0.010350838231765334,20:25:00,0.029557288829174022,41,39,49ers,0.04640307252096982,Rams,0.02378289835650251,70178.0,-11.2,-11.1,-2.9,9.2,0.4,-0.2,Levi's,0.04640307252096982,75000,68500,"Santa_Clara,CA",0.04640307252096982,Cloudy,-0.05709445713883091
2017,3,Jacksonville Jaguars,-0.044539378056353544,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,09:30:00,0.11085488016632726,44,7,Jaguars,-0.02497378909051273,Ravens,-0.046763273136878246,84592.0,-5.0,1.5,6.5,3.4,-2.8,-2.4,EverBank,-0.02497378909051273,82000,67814,"Jacksonville,FL",-0.02497378909051273,Cloudy,-0.05709445713883091
2017,3,New York Jets,0.0781586584146469,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,20,6,Jets,0.17935967860288793,Dolphins,0.0015729750762001379,77562.0,-8.5,-2.4,-4.9,-6.3,0.3,0.7,MetLife,0.2372130118726431,83367,82500,"East_Rutherford,NJ",0.2372130118726431,Clear,0.05220517572910981
2017,3,Indianapolis Colts,-0.06874522043641333,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,31,28,Colts,-0.09404604598349998,Browns,-0.06556417458336795,63351.0,0.4,-10.1,-10.1,-11.0,-1.3,0.0,Lucas Oil,-0.09404604598349998,70000,63000,"Indianapolis,IN",-0.09404604598349998,Clear,0.05220517572910981
